propagationModel,distance,duration,signalStrength,throughput
ns3::FixedRssLossModel,251,60,-79,49.7771
ns3::ThreeLogDistancePropagationLossModel,1,60,-34.6777,73.7488
ns3::ThreeLogDistancePropagationLossModel,6,60,-49.4626,73.7435
ns3::ThreeLogDistancePropagationLossModel,11,60,-54.4642,73.7412
ns3::ThreeLogDistancePropagationLossModel,16,60,-57.556,73.7414
ns3::ThreeLogDistancePropagationLossModel,21,60,-59.7999,73.7388
ns3::ThreeLogDistancePropagationLossModel,26,60,-61.5622,73.7487
ns3::ThreeLogDistancePropagationLossModel,31,60,-63.0136,73.7449
ns3::ThreeLogDistancePropagationLossModel,36,60,-64.2474,73.7435
ns3::ThreeLogDistancePropagationLossModel,41,60,-65.3206,73.7461
ns3::ThreeLogDistancePropagationLossModel,46,60,-66.2701,73.7473
ns3::ThreeLogDistancePropagationLossModel,51,60,-67.1215,73.7435
ns3::ThreeLogDistancePropagationLossModel,56,60,-67.8933,73.7496
ns3::ThreeLogDistancePropagationLossModel,61,60,-68.599,73.7435
ns3::ThreeLogDistancePropagationLossModel,66,60,-69.249,73.7414
ns3::ThreeLogDistancePropagationLossModel,71,60,-69.8516,73.7496
ns3::ThreeLogDistancePropagationLossModel,76,60,-70.4132,73.7412
ns3::ThreeLogDistancePropagationLossModel,81,60,-70.9389,73.741
ns3::ThreeLogDistancePropagationLossModel,86,60,-71.4332,73.7449
ns3::ThreeLogDistancePropagationLossModel,91,60,-71.8995,73.7492
ns3::ThreeLogDistancePropagationLossModel,96,60,-72.3409,73.7492
ns3::ThreeLogDistancePropagationLossModel,101,60,-72.7598,73.7459
ns3::ThreeLogDistancePropagationLossModel,106,60,-73.1585,73.7343
ns3::ThreeLogDistancePropagationLossModel,111,60,-73.5388,73.7441
ns3::ThreeLogDistancePropagationLossModel,116,60,-73.9024,73.7351
ns3::ThreeLogDistancePropagationLossModel,121,60,-74.2506,73.7376
ns3::ThreeLogDistancePropagationLossModel,126,60,-74.5847,73.7404
ns3::ThreeLogDistancePropagationLossModel,131,60,-74.9059,73.7366
ns3::ThreeLogDistancePropagationLossModel,136,60,-75.2149,73.7392
ns3::ThreeLogDistancePropagationLossModel,141,60,-75.5129,73.738
ns3::ThreeLogDistancePropagationLossModel,146,60,-75.8004,73.7404
ns3::ThreeLogDistancePropagationLossModel,151,60,-76.0783,73.7449
ns3::ThreeLogDistancePropagationLossModel,156,60,-76.3471,73.7427
ns3::ThreeLogDistancePropagationLossModel,161,60,-76.6074,73.7427
ns3::ThreeLogDistancePropagationLossModel,166,60,-76.8598,73.7435
